Pillar,Question Type,Status,Notes,Goal,Signals,Weak Answer,Strong Answer,IC5/IC6 Example,IC7/D1 Example
5. Domain,Infra,,,Assess expertise in product area,"Industry knowledge, regulatory awareness","Generic knowledge, lacks nuance","Explains mechanics (auctions), knows edge cases & policy","Ads work by bidding","Second-price auctions optimize truth but erode margin. Shifted to first-price..."
5. Domain,Trust & Safety,,,Assess expertise in product area,"Industry knowledge, regulatory awareness","Generic knowledge, lacks nuance","Explains mechanics (auctions), knows edge cases & policy","Ads work by bidding","Second-price auctions optimize truth but erode margin. Shifted to first-price..."
5. Domain,Payments,,,Assess expertise in product area,"Industry knowledge, regulatory awareness","Generic knowledge, lacks nuance","Explains mechanics (auctions), knows edge cases & policy","Ads work by bidding","Second-price auctions optimize truth but erode margin. Shifted to first-price..."
6. Metrics,Define metric?,,,Assess data-driven decision making,"Metric selection, counter-metrics, debugging","Vanity metrics, takes number at face value","North star + guardrails, synthesizes conflicting signals","Measure DAU and retention","NS: Weekly active creators. Guardrail: D7 retention. 5% holdback."
6. Metrics,Why dropped?,,,Assess data-driven decision making,"Metric selection, counter-metrics, debugging","Vanity metrics, takes number at face value","North star + guardrails, synthesizes conflicting signals","Measure DAU and retention","NS: Weekly active creators. Guardrail: D7 retention. 5% holdback."
6. Metrics,Design A/B?,,,Assess data-driven decision making,"Metric selection, counter-metrics, debugging","Vanity metrics, takes number at face value","North star + guardrails, synthesizes conflicting signals","Measure DAU and retention","NS: Weekly active creators. Guardrail: D7 retention. 5% holdback."
6. Metrics,Counter-metric?,,,Assess data-driven decision making,"Metric selection, counter-metrics, debugging","Vanity metrics, takes number at face value","North star + guardrails, synthesizes conflicting signals","Measure DAU and retention","NS: Weekly active creators. Guardrail: D7 retention. 5% holdback."
6. Metrics,What tradeoff?,,,Assess data-driven decision making,"Synthesis, ecosystem awareness, decision logic","Ignores negative signal to 'win' the launch","Weighs long-term health vs short-term gain","Launch because clicks are up","Clicks up 5% but latency up 200ms. I'd hold launch because latency kills ecosystem health long-term."
7. Leadership,How re-org?,,,Assess ability to build and scale teams,"Hiring bar, org design, conflict resolution","Generic hiring answers, avoids conflict","Explains team topology, hiring calibration, stakeholder framing","Hired A-players, worked with Eng","Re-org'd to pods. Cut coordination overhead 30%. Handled underperformer."
7. Leadership,How hire?,,,Assess ability to build and scale teams,"Hiring bar, org design, conflict resolution","Generic hiring answers, avoids conflict","Explains team topology, hiring calibration, stakeholder framing","Hired A-players, worked with Eng","Re-org'd to pods. Cut coordination overhead 30%. Handled underperformer."
7. Leadership,Resolve conflict?,,,Assess ability to build and scale teams,"Hiring bar, org design, conflict resolution","Generic hiring answers, avoids conflict","Explains team topology, hiring calibration, stakeholder framing","Hired A-players, worked with Eng","Re-org'd to pods. Cut coordination overhead 30%. Handled underperformer."
7. Leadership,Influence w/o power?,,,Assess ability to build and scale teams,"Hiring bar, org design, conflict resolution","Generic hiring answers, avoids conflict","Explains team topology, hiring calibration, stakeholder framing","Hired A-players, worked with Eng","Re-org'd to pods. Cut coordination overhead 30%. Handled underperformer."
8. Behavioral,Tell me about…,,,Assess self-awareness and culture fit,"Reflection, ownership, learning from failure","Blames others, vague outcomes, uses 'we'","Owns failure, quantifies impact, credits team","Project delayed due to Eng resources","I underestimated integration. Cost 6 weeks/$2M. Now I mandate spikes."
8. Behavioral,Biggest failure?,,,Assess self-awareness and culture fit,"Reflection, ownership, learning from failure","Blames others, vague outcomes, uses 'we'","Owns failure, quantifies impact, credits team","Project delayed due to Eng resources","I underestimated integration. Cost 6 weeks/$2M. Now I mandate spikes."
8. Behavioral,Disagree & commit?,,,Assess self-awareness and culture fit,"Reflection, ownership, learning from failure","Blames others, vague outcomes, uses 'we'","Owns failure, quantifies impact, credits team","Project delayed due to Eng resources","I underestimated integration. Cost 6 weeks/$2M. Now I mandate spikes."
8. Behavioral,How communicate?,,,Assess self-awareness and culture fit,"Reflection, ownership, learning from failure","Blames others, vague outcomes, uses 'we'","Owns failure, quantifies impact, credits team","Project delayed due to Eng resources","I underestimated integration. Cost 6 weeks/$2M. Now I mandate spikes."
